min_x,min_y,min_z,max_x,max_y,max_z,center_x,center_y,center_z,dx,dy,dz,wall_id,ply_file,n_points
-1.3625409072456516,5.133546797563834,-0.4876744203926513,-1.0123331794597348,20.377240142364993,3.441627417650601,-1.187437043352693,12.755393469964414,1.4769764986289748,0.3502077277859168,15.24369334480116,3.9293018380432527,1,wall_001.ply,32012
-4.985225187681787,5.095681112770804,-0.5520482974099441,-4.70540149643595,13.50128631516534,3.2366356123858107,-4.845313342058869,9.298483713968071,1.3422936574879332,0.2798236912458369,8.405605202394536,3.788683909795755,2,wall_002.ply,19874
-4.987240525778376,13.817235594801506,-0.4284389319194998,-4.782858091335368,17.547737631412453,3.1123199396256673,-4.885049308556872,15.68248661310698,1.3419405038530838,0.2043824344430085,3.7305020366109463,3.540758871545167,3,wall_003.ply,1424
-4.886650434295675,-5.7184403472935275,-0.465669801048262,-4.633464505849195,-2.72052938255754,3.1884254775422463,-4.760057470072435,-4.219484864925533,1.361377838246992,0.2531859284464808,2.9979109647359876,3.654095278590508,4,wall_004.ply,1208
3.4220470287296427,-5.76822347494145,-1.0545331741620998,3.9473749679325816,6.095228374060037,3.570781166898417,3.684710998331112,0.1635024495592936,1.2581239963681583,0.5253279392029389,11.863451849001486,4.625314341060517,5,wall_005.ply,25585
-7.620332148125499,-3.101473585579415,-1.1429018513959,-7.442938563836784,5.848286848450805,3.778569074291016,-7.531635355981141,1.3734066314356947,1.3178336114475582,0.1773935842887146,8.94976043403022,4.921470925686916,6,wall_006.ply,8706
-7.812244034202539,5.431731563395013,-0.5921411180359507,3.991756640697506,5.91160375493714,3.8019516693594784,-1.9102436967525167,5.671667659166077,1.604905275661764,11.804000674900044,0.4798721915421264,4.394092787395429,7,wall_007.ply,17360
-4.94260845387415,3.4365619003255414,-0.6859761584869567,-4.78616458765268,4.11168443511912,2.219398869958049,-4.864386520763414,3.7741231677223306,0.7667113557355463,0.15644386622147,0.6751225347935783,2.9053750284450057,8,wall_008.ply,524
-4.923645682582331,-1.6134405557870564,-0.7694281515418575,-4.745252889593991,-0.0806815567108509,2.6536784118573915,-4.8344492860881605,-0.8470610562489537,0.942125130157767,0.1783927929883395,1.5327589990762054,3.423106563399249,9,wall_009.ply,508
-2.106732904115624,5.733367187564828,-0.2904117713136647,-0.3599807823064654,34.38537972340503,3.6734741651161658,-1.2333568432110449,20.05937345548493,1.6915311969012503,1.7467521218091584,28.652012535840203,3.9638859364298304,10,wall_001.ply,149813
-6.018246122073925,5.696074614193975,-0.355662954256317,-4.229122518470337,34.40143074847963,3.6150519269204926,-5.123684320272131,20.048752681336804,1.6296944863320877,1.7891236036035876,28.70535613428566,3.97071488117681,11,wall_002.ply,148577
-2.3007258182818036,28.72966350811752,0.093967623986966,-2.1804873934291784,29.14835217366161,3.5022946184913164,-2.2406066058554908,28.93900784088957,1.798131121239141,0.1202384248526251,0.4186886655440887,3.40832699450435,12,wall_003.ply,584
