min_x,min_y,min_z,max_x,max_y,max_z,center_x,center_y,center_z,dx,dy,dz,wall_id,ply_file,n_points
-4.172062397003174,-1.6092939376831057,-0.6346176862716675,34.70052719116211,-1.3429160118103027,3.2050094604492188,15.264232397079468,-1.476104974746704,1.2851958870887756,38.87258958816528,0.2663779258728027,3.8396271467208862,1,wall_001.ply,23234
3.755279541015625,4.8540239334106445,-1.4411441087722778,23.89315414428711,5.056692600250244,7.059154033660889,13.824216842651367,4.955358266830444,2.8090049624443054,20.137874603271484,0.2026686668395996,8.500298142433167,2,wall_002.ply,17361
23.795740127563477,2.117947578430176,-0.5422470569610596,28.40968132019043,2.4498395919799805,2.8745880126953125,26.102710723876953,2.283893585205078,1.1661704778671265,4.613941192626953,0.3318920135498047,3.416835069656372,3,wall_003.ply,3423
28.730026245117188,2.1219711303710938,-0.6624675989151001,36.777950286865234,2.2736339569091797,2.850546598434448,32.75398826599121,2.1978025436401367,1.094039499759674,8.047924041748047,0.1516628265380859,3.5130141973495483,4,wall_004.ply,961
-4.596249580383301,2.0636444091796875,-0.4795695543289184,4.395004749298096,2.3248391151428223,2.907017946243286,-0.1006224155426025,2.194241762161255,1.2137241959571838,8.991254329681396,0.2611947059631347,3.3865875005722046,5,wall_005.ply,3690
8.240751266479492,2.2689461708068848,-0.5776917338371277,16.680330276489258,2.396312475204468,0.5739024877548218,12.460540771484377,2.3326293230056763,-0.0018946230411529,8.439579010009766,0.127366304397583,1.1515942215919497,6,wall_006.ply,1097
46.93355941772461,2.0558745861053467,-0.8172235488891602,50.74399185180664,2.16232967376709,2.4568123817443848,48.838775634765625,2.1091021299362183,0.8197944164276123,3.8104324340820312,0.1064550876617431,3.274035930633545,7,wall_001.ply,971
23.68943214416504,2.055727958679199,-0.6327059268951416,36.85907745361328,2.311174154281616,2.899547576904297,30.27425479888916,2.1834510564804077,1.1334208250045776,13.169645309448242,0.255446195602417,3.5322535037994385,8,wall_002.ply,5490
43.08073043823242,2.086357831954956,-0.8149799704551697,46.11518859863281,2.1847987174987793,1.0928484201431274,44.59795951843262,2.1355782747268677,0.1389342248439788,3.03445816040039,0.0984408855438232,1.9078283905982971,9,wall_003.ply,373
39.47325897216797,-1.6462936401367188,-0.8719660043716431,48.06494903564453,-1.5399014949798584,2.8211281299591064,43.76910400390625,-1.5930975675582886,0.9745810627937316,8.591690063476562,0.1063921451568603,3.6930941343307495,10,wall_004.ply,1260
22.235729217529297,-1.6690624952316284,-0.6410263180732727,39.12123107910156,-1.405980110168457,3.043995141983032,30.67848014831543,-1.5375213027000427,1.2014844119548798,16.885501861572266,0.2630823850631714,3.685021460056305,11,wall_005.ply,6499
